Intervalo;Valor BRL;A partir de;Ate
A;150,65;1;27000
B;142,7;27001;33500
C;137,05;33501;45500
D;130,4;45501;61500
E;124,4;61501;63500
F;117,75;63501;67500
G;112,1;67501;153500
